timestamp,cumulFlow
"""2025-04-05T06:34:27.000Z""",244.13
"""2025-04-05T06:44:27.000Z""",244.13
"""2025-04-05T06:54:27.000Z""",244.13
"""2025-04-05T07:04:27.000Z""",244.13
"""2025-04-05T07:14:27.000Z""",244.13
"""2025-04-05T07:24:27.000Z""",244.13
"""2025-04-05T07:34:27.000Z""",244.13
"""2025-04-05T07:44:27.000Z""",244.13
"""2025-04-05T07:54:27.000Z""",244.13
"""2025-04-05T08:04:27.000Z""",244.13
"""2025-04-05T08:14:27.000Z""",244.13
"""2025-04-05T08:24:27.000Z""",244.43
"""2025-04-05T08:34:27.000Z""",244.62
"""2025-04-05T08:44:27.000Z""",244.62
"""2025-04-05T08:54:27.000Z""",244.62
"""2025-04-05T09:04:27.000Z""",244.62
"""2025-04-05T09:14:27.000Z""",244.62
"""2025-04-05T09:24:27.000Z""",244.62
"""2025-04-05T09:34:27.000Z""",244.62
"""2025-04-05T09:44:27.000Z""",244.62
"""2025-04-05T09:54:27.000Z""",244.62
"""2025-04-05T10:04:27.000Z""",244.62
"""2025-04-05T10:14:27.000Z""",244.62
"""2025-04-05T10:24:27.000Z""",244.62
"""2025-04-05T10:34:27.000Z""",244.62
"""2025-04-05T10:44:27.000Z""",244.62
"""2025-04-05T10:54:27.000Z""",244.62
"""2025-04-05T11:04:27.000Z""",244.62
"""2025-04-05T11:14:27.000Z""",244.86
"""2025-04-05T11:24:27.000Z""",245.27
"""2025-04-05T11:34:27.000Z""",245.66
"""2025-04-05T11:44:27.000Z""",246.08
"""2025-04-05T11:54:27.000Z""",246.48
"""2025-04-05T12:04:27.000Z""",246.55
"""2025-04-05T12:14:27.000Z""",246.55
"""2025-04-05T12:24:27.000Z""",246.55
"""2025-04-05T12:34:27.000Z""",246.55
"""2025-04-05T12:44:27.000Z""",246.55
"""2025-04-05T12:54:27.000Z""",246.55
"""2025-04-05T13:04:27.000Z""",246.55
"""2025-04-05T13:14:27.000Z""",246.55
"""2025-04-05T13:24:27.000Z""",246.55
"""2025-04-05T13:34:27.000Z""",246.55
"""2025-04-05T13:44:27.000Z""",246.55
"""2025-04-05T13:54:27.000Z""",246.55
"""2025-04-05T14:04:27.000Z""",246.55
"""2025-04-05T14:14:27.000Z""",246.55
"""2025-04-05T14:24:27.000Z""",246.55
"""2025-04-05T14:34:27.000Z""",246.55
"""2025-04-05T14:44:27.000Z""",246.55
"""2025-04-05T14:54:27.000Z""",246.55
"""2025-04-05T15:04:27.000Z""",246.55
"""2025-04-05T15:14:27.000Z""",246.55
"""2025-04-05T15:24:27.000Z""",246.55
"""2025-04-05T15:34:27.000Z""",246.55
"""2025-04-05T15:44:27.000Z""",246.55
"""2025-04-05T15:54:27.000Z""",246.55
"""2025-04-05T16:04:27.000Z""",246.55
"""2025-04-05T16:14:27.000Z""",246.55
"""2025-04-05T16:24:27.000Z""",246.55
"""2025-04-05T16:34:27.000Z""",246.55
"""2025-04-05T16:44:27.000Z""",246.55
"""2025-04-05T16:54:27.000Z""",246.55
"""2025-04-05T17:04:27.000Z""",246.55
"""2025-04-05T17:14:27.000Z""",246.55
"""2025-04-05T17:24:27.000Z""",246.55
"""2025-04-05T17:34:27.000Z""",246.55
"""2025-04-05T17:44:27.000Z""",246.55
"""2025-04-05T17:54:27.000Z""",246.55
"""2025-04-05T18:04:27.000Z""",246.55
"""2025-04-05T18:14:27.000Z""",246.55
"""2025-04-05T18:24:27.000Z""",246.55
"""2025-04-05T18:34:27.000Z""",246.55
"""2025-04-05T18:44:27.000Z""",246.55
"""2025-04-05T18:54:27.000Z""",246.55
"""2025-04-05T19:04:27.000Z""",246.55
"""2025-04-05T19:14:27.000Z""",246.55
"""2025-04-05T19:24:27.000Z""",246.55
"""2025-04-05T19:34:27.000Z""",246.55
"""2025-04-05T19:44:27.000Z""",246.55
"""2025-04-05T19:54:27.000Z""",246.55
"""2025-04-05T20:04:27.000Z""",246.55
"""2025-04-05T20:14:27.000Z""",246.55
"""2025-04-05T20:24:27.000Z""",246.55
"""2025-04-05T20:34:27.000Z""",246.55
"""2025-04-05T20:44:27.000Z""",246.55
"""2025-04-05T20:54:27.000Z""",246.55
"""2025-04-05T21:04:27.000Z""",246.55
"""2025-04-05T21:14:27.000Z""",246.55
"""2025-04-05T21:24:27.000Z""",246.55
"""2025-04-05T21:34:27.000Z""",246.55
"""2025-04-05T21:44:27.000Z""",246.55
"""2025-04-05T21:54:27.000Z""",246.55
"""2025-04-05T22:04:27.000Z""",246.55
"""2025-04-05T22:14:27.000Z""",246.55
"""2025-04-05T22:24:27.000Z""",246.55
"""2025-04-05T22:34:27.000Z""",246.55
"""2025-04-05T22:44:27.000Z""",246.55
"""2025-04-05T22:54:27.000Z""",246.55
"""2025-04-05T23:04:27.000Z""",246.55
"""2025-04-05T23:14:27.000Z""",246.55
"""2025-04-05T23:24:27.000Z""",246.55
"""2025-04-05T23:34:27.000Z""",246.55
"""2025-04-05T23:44:27.000Z""",246.55
"""2025-04-05T23:54:27.000Z""",246.55
"""2025-04-06T00:04:27.000Z""",246.55
"""2025-04-06T00:14:27.000Z""",246.55
"""2025-04-06T00:24:27.000Z""",246.55
"""2025-04-06T00:34:27.000Z""",246.55
"""2025-04-06T00:44:27.000Z""",246.55
"""2025-04-06T00:54:27.000Z""",246.55
"""2025-04-06T01:04:27.000Z""",246.55
"""2025-04-06T01:14:27.000Z""",246.55
"""2025-04-06T01:24:27.000Z""",246.55
"""2025-04-06T01:34:27.000Z""",246.55
"""2025-04-06T01:44:27.000Z""",246.55
"""2025-04-06T01:54:27.000Z""",246.55
"""2025-04-06T02:04:27.000Z""",246.55
"""2025-04-06T02:14:27.000Z""",246.55
"""2025-04-06T02:24:27.000Z""",246.55
"""2025-04-06T02:34:27.000Z""",246.55
"""2025-04-06T02:44:27.000Z""",246.55
"""2025-04-06T02:54:27.000Z""",246.55
"""2025-04-06T03:04:27.000Z""",246.55
"""2025-04-06T03:14:27.000Z""",246.55
"""2025-04-06T03:24:27.000Z""",246.55
"""2025-04-06T03:34:27.000Z""",246.55
"""2025-04-06T03:44:27.000Z""",246.55
"""2025-04-06T03:54:27.000Z""",246.55
"""2025-04-06T04:04:27.000Z""",246.55
"""2025-04-06T04:14:27.000Z""",246.55
"""2025-04-06T04:24:27.000Z""",246.55
"""2025-04-06T04:34:27.000Z""",246.55
"""2025-04-06T04:44:27.000Z""",246.55
"""2025-04-06T04:54:27.000Z""",246.55
"""2025-04-06T05:04:27.000Z""",246.55
"""2025-04-06T05:14:27.000Z""",246.55
"""2025-04-06T05:24:27.000Z""",246.55
"""2025-04-06T05:34:27.000Z""",246.55
"""2025-04-06T05:44:27.000Z""",246.55
"""2025-04-06T05:54:27.000Z""",246.55
"""2025-04-06T06:04:27.000Z""",246.55
"""2025-04-06T06:14:27.000Z""",246.55
"""2025-04-06T06:24:27.000Z""",246.55
"""2025-04-06T06:34:27.000Z""",246.55
"""2025-04-06T06:44:27.000Z""",246.55
"""2025-04-06T06:54:27.000Z""",246.55
"""2025-04-06T07:04:27.000Z""",246.55
"""2025-04-06T07:14:27.000Z""",246.55
"""2025-04-06T07:24:27.000Z""",246.55
"""2025-04-06T07:34:27.000Z""",246.55
"""2025-04-06T07:44:27.000Z""",246.55
"""2025-04-06T07:54:27.000Z""",246.55
"""2025-04-06T08:04:27.000Z""",246.55
"""2025-04-06T08:14:27.000Z""",246.55
"""2025-04-06T08:24:27.000Z""",246.55
"""2025-04-06T08:34:27.000Z""",246.55
"""2025-04-06T08:44:27.000Z""",246.55
"""2025-04-06T08:54:27.000Z""",246.55
"""2025-04-06T09:04:27.000Z""",246.55
"""2025-04-06T09:14:27.000Z""",246.55
"""2025-04-06T09:24:27.000Z""",246.55
"""2025-04-06T09:34:27.000Z""",246.55
"""2025-04-06T09:44:27.000Z""",246.55
"""2025-04-06T09:54:27.000Z""",246.55
"""2025-04-06T10:04:27.000Z""",246.55
"""2025-04-06T10:14:27.000Z""",246.55
"""2025-04-06T10:24:27.000Z""",246.55
"""2025-04-06T10:34:27.000Z""",246.55
"""2025-04-06T10:44:27.000Z""",246.55
"""2025-04-06T10:54:27.000Z""",246.55
"""2025-04-06T11:04:27.000Z""",246.55
"""2025-04-06T11:14:27.000Z""",246.55
"""2025-04-06T11:24:27.000Z""",246.55
"""2025-04-06T11:34:27.000Z""",246.55
"""2025-04-06T11:44:27.000Z""",246.55
"""2025-04-06T11:54:27.000Z""",246.55
"""2025-04-06T12:04:27.000Z""",246.55
"""2025-04-06T12:14:27.000Z""",246.55
"""2025-04-06T12:24:27.000Z""",246.55
"""2025-04-06T12:34:27.000Z""",246.55
"""2025-04-06T12:44:27.000Z""",246.55
"""2025-04-06T12:54:27.000Z""",246.55
"""2025-04-06T13:04:27.000Z""",246.55
"""2025-04-06T13:14:27.000Z""",246.55
"""2025-04-06T13:24:27.000Z""",246.55
"""2025-04-06T13:34:27.000Z""",246.55
